timestamp,model_name,prompt,prompt_tokens,completion_tokens,total_tokens,response_time_ms,tokens_per_second,temperature,cpu_model,cpu_cores,cpu_usage_percent,cpu_speed,total_memory_gb,memory_usage_percent,gpu_model,gpu_vendor,os
2025-03-18T00:13:31.727Z,hermes-3-llama-3.2-3b,What is Python?,470,143,613,2547,240.69,0.5,AMD Ryzen 5 5600 6-Core Processor,12,34.82,3500,32,67,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:16:05.052Z,hermes-3-llama-3.2-3b,What is Python?,470,95,565,1777,317.99,0.5,AMD Ryzen 5 5600 6-Core Processor,12,40.41,3500,32,69,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:18:50.159Z,hermes-3-llama-3.2-3b,What is Python?,470,67,537,1370,392.05,0.5,AMD Ryzen 5 5600 6-Core Processor,12,32.47,3500,32,68,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:22:11.081Z,hermes-3-llama-3.2-3b,What is Python?,470,69,539,1438,374.95,0.5,AMD Ryzen 5 5600 6-Core Processor,12,53.57,3500,32,68,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:24:42.282Z,hermes-3-llama-3.2-3b,What is Python?,470,68,538,1436,374.68,0.5,AMD Ryzen 5 5600 6-Core Processor,12,45.39,3500,32,68,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:27:00.379Z,hermes-3-llama-3.2-3b,What is Calculus?,283,75,358,1431,250.22,0.5,AMD Ryzen 5 5600 6-Core Processor,12,45.68,3500,32,69,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:29:33.264Z,hermes-3-llama-3.2-3b,What is Calculus?,283,90,373,1681,221.94,0.5,AMD Ryzen 5 5600 6-Core Processor,12,31.9,3500,32,68,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:32:39.678Z,hermes-3-llama-3.2-3b,What is Python?,470,130,600,2534,236.79,0.5,AMD Ryzen 5 5600 6-Core Processor,12,24.58,3500,32,69,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:34:35.480Z,hermes-3-llama-3.2-3b,What is Python?,470,70,540,1509,357.91,0.5,AMD Ryzen 5 5600 6-Core Processor,12,30.98,3500,32,69,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:36:39.600Z,hermes-3-llama-3.2-3b,What is Python?,470,144,614,2848,215.56,0.5,AMD Ryzen 5 5600 6-Core Processor,12,31.6,3500,32,68,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:38:31.845Z,hermes-3-llama-3.2-3b,What is Python?,470,143,613,2689,228,0.5,AMD Ryzen 5 5600 6-Core Processor,12,32.41,3500,32,69,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:39:48.229Z,hermes-3-llama-3.2-3b,Hello,154,25,179,527,339.36,0.5,AMD Ryzen 5 5600 6-Core Processor,12,35.47,3500,32,68,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:40:10.395Z,hermes-3-llama-3.2-3b,Hello!,155,9,164,229,716.39,0.5,AMD Ryzen 5 5600 6-Core Processor,12,46.45,3500,32,68,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:41:39.087Z,hermes-3-llama-3.2-3b,Hello!,155,25,180,517,348.04,0.5,AMD Ryzen 5 5600 6-Core Processor,12,52.38,3500,32,69,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:41:55.031Z,hermes-3-llama-3.2-3b,What is Python?,470,151,621,2789,222.69,0.5,AMD Ryzen 5 5600 6-Core Processor,12,45.12,3500,32,68,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:44:44.171Z,hermes-3-llama-3.2-3b,Hello!,155,9,164,252,650.46,0.5,AMD Ryzen 5 5600 6-Core Processor,12,35.69,3500,32,69,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:45:11.695Z,hermes-3-llama-3.2-3b,What is Python?,470,147,617,2723,226.57,0.5,AMD Ryzen 5 5600 6-Core Processor,12,43.9,3500,32,69,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:47:08.501Z,hermes-3-llama-3.2-3b,Hello,154,9,163,262,622.13,0.5,AMD Ryzen 5 5600 6-Core Processor,12,48.37,3500,32,70,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:48:05.075Z,hermes-3-llama-3.2-3b,Hello,154,9,163,220,741.16,0.5,AMD Ryzen 5 5600 6-Core Processor,12,50.9,3500,32,70,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:48:14.955Z,hermes-3-llama-3.2-3b,Put his Python.,157,25,182,495,367.64,0.5,AMD Ryzen 5 5600 6-Core Processor,12,43.04,3500,32,70,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:48:21.762Z,hermes-3-llama-3.2-3b,What is Python?,470,69,539,1411,382.06,0.5,AMD Ryzen 5 5600 6-Core Processor,12,45.75,3500,32,70,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:49:51.121Z,hermes-3-llama-3.2-3b,What is Pathon?,158,25,183,513,356.82,0.5,AMD Ryzen 5 5600 6-Core Processor,12,46.59,3500,32,70,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:49:57.765Z,hermes-3-llama-3.2-3b,What is Python?,470,93,563,1819,309.54,0.5,AMD Ryzen 5 5600 6-Core Processor,12,49.5,3500,32,70,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:50:16.441Z,hermes-3-llama-3.2-3b,What is calculus?,282,74,356,1399,254.52,0.5,AMD Ryzen 5 5600 6-Core Processor,12,45.57,3500,32,70,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:51:23.133Z,hermes-3-llama-3.2-3b,What is Pathon?,158,28,186,547,339.89,0.5,AMD Ryzen 5 5600 6-Core Processor,12,49.44,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:51:29.482Z,hermes-3-llama-3.2-3b,What is Python?,470,160,630,3030,207.91,0.5,AMD Ryzen 5 5600 6-Core Processor,12,49.44,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:53:02.095Z,hermes-3-llama-3.2-3b,My name is Jordan.,158,45,203,851,238.6,0.5,AMD Ryzen 5 5600 6-Core Processor,12,30.36,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:53:37.272Z,hermes-3-llama-3.2-3b,My name is Jordan and I want to know what calculus is.,235,54,289,1017,284.06,0.5,AMD Ryzen 5 5600 6-Core Processor,12,42.75,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:55:01.377Z,hermes-3-llama-3.2-3b,Hello my name is Jordan.,159,46,205,868,236.2,0.5,AMD Ryzen 5 5600 6-Core Processor,12,46.71,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:55:35.935Z,hermes-3-llama-3.2-3b,I am studying calculus.,227,99,326,1736,187.75,0.5,AMD Ryzen 5 5600 6-Core Processor,12,44.63,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:56:04.844Z,hermes-3-llama-3.2-3b,Can you explain Python in three sentences?,161,52,213,904,235.61,0.5,AMD Ryzen 5 5600 6-Core Processor,12,42.3,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:56:34.355Z,hermes-3-llama-3.2-3b,Can you explain calculus in three sentences?,161,153,314,2640,118.96,0.5,AMD Ryzen 5 5600 6-Core Processor,12,43.83,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T00:57:02.816Z,hermes-3-llama-3.2-3b,How are you today?,158,28,186,536,347.13,0.5,AMD Ryzen 5 5600 6-Core Processor,12,44.65,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T01:04:19.349Z,hermes-3-llama-3.2-3b,Hello my name is Jordan.,159,18,177,45027,3.93,0.5,AMD Ryzen 5 5600 6-Core Processor,12,40.82,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T01:15:42.818Z,hermes-3-llama-3.2-3b,Hello!,155,9,164,8768,18.7,0.5,AMD Ryzen 5 5600 6-Core Processor,12,38.18,3500,32,63,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T01:17:48.197Z,hermes-3-llama-3.2-3b,Hello!,155,9,164,8419,19.48,0.5,AMD Ryzen 5 5600 6-Core Processor,12,45.18,3500,32,62,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T01:30:47.542Z,hermes-3-llama-3.2-3b,It is itself hello.,158,25,183,10852,16.86,0.5,AMD Ryzen 5 5600 6-Core Processor,12,49.05,3500,32,62,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:07:52.726Z,hermes-3-llama-3.2-3b,Hello,154,9,163,354,460.14,0.5,AMD Ryzen 5 5600 6-Core Processor,12,0,3500,32,65,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:10:46.423Z,hermes-3-llama-3.2-3b,Hello.,155,9,164,365,448.98,0.5,AMD Ryzen 5 5600 6-Core Processor,12,35.16,3500,32,67,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:14:08.778Z,hermes-3-llama-3.2-3b,Hello,154,9,163,258,632.21,0.5,AMD Ryzen 5 5600 6-Core Processor,12,32.49,3500,32,38,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:14:42.448Z,hermes-3-llama-3.2-3b,What is Saufor Engineering?,160,25,185,566,326.77,0.5,AMD Ryzen 5 5600 6-Core Processor,12,34.08,3500,32,38,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:15:05.173Z,hermes-3-llama-3.2-3b,What is Software Engineering?,158,154,312,2962,105.33,0.5,AMD Ryzen 5 5600 6-Core Processor,12,31.03,3500,32,38,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:15:45.001Z,hermes-3-llama-3.2-3b,Hello,154,9,163,239,681.51,0.5,AMD Ryzen 5 5600 6-Core Processor,12,29.22,3500,32,39,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:16:33.536Z,hermes-3-llama-3.2-3b,What is Game Development?,158,63,221,1380,160.16,0.5,AMD Ryzen 5 5600 6-Core Processor,12,29.4,3500,32,39,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:17:20.858Z,hermes-3-llama-3.2-3b,What is a sound? A sign.,161,74,235,1516,154.98,0.5,AMD Ryzen 5 5600 6-Core Processor,12,31.84,3500,32,39,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:17:46.537Z,hermes-3-llama-3.2-3b,Hello!,155,9,164,272,603.58,0.5,AMD Ryzen 5 5600 6-Core Processor,12,29.47,3500,32,39,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:20:01.674Z,hermes-3-llama-3.2-3b,What is game development?,158,25,183,599,305.69,0.5,AMD Ryzen 5 5600 6-Core Processor,12,24.38,3500,32,44,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:23:24.125Z,hermes-3-llama-3.2-3b,What is sound design?,158,79,237,1404,168.83,0.5,AMD Ryzen 5 5600 6-Core Processor,12,25.33,3500,32,45,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:25:25.833Z,hermes-3-llama-3.2-3b,What is sound design?,203,25,228,635,359.29,0.2,AMD Ryzen 5 5600 6-Core Processor,12,0,3500,32,49,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:25:31.609Z,hermes-3-llama-3.2-3b,what is game development?,203,25,228,530,430.34,0.2,AMD Ryzen 5 5600 6-Core Processor,12,34.7,3500,32,48,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:25:40.931Z,hermes-3-llama-3.2-3b,What is python?,347,134,481,2207,217.93,0.2,AMD Ryzen 5 5600 6-Core Processor,12,37.36,3500,32,47,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:26:08.224Z,hermes-3-llama-3.2-3b,What is software engineering?,203,25,228,664,343.52,0.2,AMD Ryzen 5 5600 6-Core Processor,12,28.41,3500,32,49,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:28:05.985Z,hermes-3-llama-3.2-3b,Hello!,200,2,202,117,1719.51,0.2,AMD Ryzen 5 5600 6-Core Processor,12,32.28,3500,32,53,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:28:17.748Z,hermes-3-llama-3.2-3b,My name is Jordan.,203,16,219,342,641.16,0.2,AMD Ryzen 5 5600 6-Core Processor,12,30.53,3500,32,53,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:28:30.377Z,hermes-3-llama-3.2-3b,What is game development?,203,25,228,500,456.26,0.2,AMD Ryzen 5 5600 6-Core Processor,12,28.32,3500,32,53,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:28:40.858Z,hermes-3-llama-3.2-3b,What is Python?,347,122,469,2205,212.66,0.2,AMD Ryzen 5 5600 6-Core Processor,12,33.05,3500,32,53,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:29:03.597Z,hermes-3-llama-3.2-3b,Hello,199,9,208,231,898.51,0.2,AMD Ryzen 5 5600 6-Core Processor,12,28.69,3500,32,53,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:31:13.586Z,hermes-3-llama-3.2-3b,Hello,199,9,208,248,840.2,0.2,AMD Ryzen 5 5600 6-Core Processor,12,29.71,3500,32,52,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:31:23.331Z,hermes-3-llama-3.2-3b,What is Game Development?,203,25,228,552,412.79,0.2,AMD Ryzen 5 5600 6-Core Processor,12,34.76,3500,32,52,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:37:25.515Z,hermes-3-llama-3.2-3b,Hello!,200,9,209,258,810.94,0.2,AMD Ryzen 5 5600 6-Core Processor,12,31.41,3500,32,55,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:38:27.506Z,hermes-3-llama-3.2-3b,What is Game Development?,203,25,228,569,400.69,0.2,AMD Ryzen 5 5600 6-Core Processor,12,35.34,3500,32,55,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:39:04.060Z,hermes-3-llama-3.2-3b,Hello! Here is the corrected version of your sentence:  Hello!,211,2,213,140,1521.16,0.2,AMD Ryzen 5 5600 6-Core Processor,12,32.12,3500,32,55,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:39:56.313Z,hermes-3-llama-3.2-3b,What is SAPWAR engineering?,204,26,230,568,404.87,0.2,AMD Ryzen 5 5600 6-Core Processor,12,28.89,3500,32,54,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:40:00.935Z,hermes-3-llama-3.2-3b,Hello,199,9,208,256,811.87,0.2,AMD Ryzen 5 5600 6-Core Processor,12,28.19,3500,32,54,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:40:13.951Z,hermes-3-llama-3.2-3b,What is Soft Wear Engineering?,204,25,229,557,410.89,0.2,AMD Ryzen 5 5600 6-Core Processor,12,28.1,3500,32,54,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-18T02:40:22.756Z,hermes-3-llama-3.2-3b,What is software engineering?,314,76,390,1657,235.31,0.2,AMD Ryzen 5 5600 6-Core Processor,12,32.85,3500,32,54,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-21T00:50:18.386Z,hermes-3-llama-3.2-3b,Hello,154,9,163,1310,124.41,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,39,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-21T00:50:24.880Z,hermes-3-llama-3.2-3b,What is Game Development?,158,101,259,1020,254,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,1.98,3700,64,38,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-21T00:51:20.657Z,hermes-3-llama-3.2-3b,What is Python?,470,69,539,909,592.89,0.5,AMD Ryzen 5 5600X 6-Core Processor,12,2.01,3700,64,38,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-21T04:21:33.201Z,hermes-3-llama-3.2-3b,What are call options in the stock market?,207,25,232,343,677.26,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,35,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-21T04:22:25.371Z,hermes-3-llama-3.2-3b,What is French Polynesia?,335,95,430,1037,414.65,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,1.23,3700,64,35,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-24T16:26:30.648Z,hermes-3-llama-3.2-3b,Hello,199,2,201,4088,49.17,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,28,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-24T16:26:36.438Z,hermes-3-llama-3.2-3b,Hello,199,2,201,37,5504.87,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,0.74,3700,64,28,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631

2025-03-24T17:07:17.024Z,hermes-3-llama-3.2-3b,test prompt,0,0,0,0,0,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,28,Unknown,Unknown,Windows_NT-10.0.22631
2025-03-24T17:07:17.026Z,hermes-3-llama-3.2-3b,test prompt,0,0,0,0,0,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,NaN,3700,64,28,Unknown,Unknown,Windows_NT-10.0.22631
2025-03-24T17:07:17.027Z,hermes-3-llama-3.2-3b,test prompt,0,0,0,0,0,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,NaN,3700,64,28,Unknown,Unknown,Windows_NT-10.0.22631
2025-03-24T17:07:17.037Z,hermes-3-llama-3.2-3b,test prompt,0,0,0,0,0,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,28,Unknown,Unknown,Windows_NT-10.0.22631
2025-03-24T17:07:17.038Z,hermes-3-llama-3.2-3b,test prompt,0,0,0,0,0,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,NaN,3700,64,28,Unknown,Unknown,Windows_NT-10.0.22631
2025-03-24T17:07:17.039Z,hermes-3-llama-3.2-3b,test prompt,0,0,0,0,0,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,NaN,3700,64,28,Unknown,Unknown,Windows_NT-10.0.22631
2025-03-29T14:24:28.565Z,llama-3.2-3b-instruct,Hello!,109,38,147,8126,18.09,0.6,12th Gen Intel(R) Core(TM) i7-1260P,16,0,2496,16,89,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-29T14:27:12.626Z,llama-3.2-3b-instruct,Hi!,116,14,130,4436,29.31,0.6,12th Gen Intel(R) Core(TM) i7-1260P,16,5.67,2496,16,92,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-29T14:33:42.881Z,llama-3.2-3b-instruct,Hello!,109,14,123,2984,41.22,0.6,12th Gen Intel(R) Core(TM) i7-1260P,16,0,2496,16,88,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-29T14:33:55.616Z,llama-3.2-3b-instruct,Whats up?!,132,17,149,5404,27.57,0.6,12th Gen Intel(R) Core(TM) i7-1260P,16,15.54,2496,16,88,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-29T14:34:42.378Z,llama-3.2-3b-instruct,My name is Blake! Whats your name?,169,59,228,16833,13.54,0.6,12th Gen Intel(R) Core(TM) i7-1260P,16,17.32,2496,16,91,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-29T14:35:25.057Z,llama-3.2-3b-instruct,Do you remember my name? I forgot,241,52,293,15981,18.33,0.6,12th Gen Intel(R) Core(TM) i7-1260P,16,14.4,2496,16,90,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-31T03:43:09.343Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,Hello! My name is Blake,119,16,135,1662,81.2,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,48,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T03:43:23.221Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,What is my name again? I am testing your memory,156,41,197,663,297.31,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,1.13,3700,64,46,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:06:47.144Z,hermes-3-llama-3.2-3b,Hello!,200,2,202,45,4460.42,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,41,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:07:21.641Z,hermes-3-llama-3.2-3b,Hello!,200,2,202,3743,53.96,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,1.72,3700,64,43,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:07:28.521Z,hermes-3-llama-3.2-3b,Hows it going?,203,25,228,312,731.82,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,1.28,3700,64,43,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:11:19.348Z,hermes-3-llama-3.2-3b,Hello!,200,9,209,3516,59.44,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,0.91,3700,64,44,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:12:24.760Z,hermes-3-llama-3.2-3b,Hello!,200,2,202,3606,56.02,0.2,AMD Ryzen 5 5600X 6-Core Processor,12,1.32,3700,64,43,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:13:33.869Z,llama-3.2-8x3b-moe-dark-champion-instruct-uncensored-abliterated-18.4b,Hello!,109,42,151,844,178.89,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,42,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:13:52.967Z,llama-3.2-8x3b-moe-dark-champion-instruct-uncensored-abliterated-18.4b,Hello! My name is Blake.,168,24,192,616,311.45,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,0.43,3700,64,42,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:14:01.914Z,llama-3.2-8x3b-moe-dark-champion-instruct-uncensored-abliterated-18.4b,Do you remember what my name is?,206,52,258,956,269.92,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,0.58,3700,64,42,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:14:55.623Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,Hello!,109,9,118,307,384.69,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,42,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:15:02.824Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,My name is Blake. Whats your name?,139,37,176,614,286.44,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,2,3700,64,42,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:15:22.554Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,I just want to see if you can remember my name. I'm testing your memory. So; what is my name?,221,53,274,833,328.99,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,0.82,3700,64,42,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:16:22.009Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,You are quite speedy! What do you know about Python?,414,144,558,2235,249.66,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,1.34,3700,64,42,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:16:38.825Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,What is French Polynesia?,608,66,674,1535,439.1,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,0.81,3700,64,42,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:25:58.523Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,My friend Jordan is looking over my shoulder. Say hi to Jordan!,520,23,543,942,576.7,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,0.57,3700,64,42,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:28:09.387Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,Hello! My name is Blake,128,18,146,384,380.54,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,41,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:28:30.385Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,My friend Jordan is watching over my shoulder. Say hi to Jordan!!,172,34,206,579,356.01,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,0.58,3700,64,41,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:38:23.994Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,Hello!,201,19,220,437,502.86,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,2.82,3700,64,42,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
2025-03-31T17:39:32.653Z,llama-3.2-4x3b-moe-hell-california-uncensored-10b,Hello,118,9,127,289,438.79,0.6,AMD Ryzen 5 5600X 6-Core Processor,12,0,3700,64,42,AMD Radeon RX 6900 XT,Advanced Micro Devices, Inc.,Windows_NT-10.0.22631
